beneficium	benefactum
beneficium	lucrum
beneficium	utilitas
beneficium	gratia
beneficium	favor
beneficium	munus
beneficium	studium
beneficium	venia
beneficium	inclinatio
beneficium	suffragium
beneficium	servitium
beneficium	ministerium
beneficium	opera
beneficium	officium
beneficium	commodum
beneficium	facultas
beneficium	largitio
beneficium	potestas
beneficium	concessio
beneficium	admissio
beneficium	promotio
beneficium	praemium
ramus	verbena
umbra	imago
umbra	lemures
umbra	opacitas
iubeo	impero
iubeo	mando
iubeo	praecipio
iubeo	praescribo
iubeo	praesum
iubeo	dispono
gens	genus
gens	progenies
gens	stirps
gens	familia
mora	commoratio
mora	retardatio
mora	dilatio
miles	gregarius
miles	mercennarius
miles	pugnator
miles	proeliator
miles	pugnans
titulus	inscriptio
titulus	epigramma
titulus	adnotatio
titulus	praescriptio
titulus	nomen
titulus	appellatio
fio	evado
fio	exsisto
fio	contingo
fio	incido
fio	incurro
fio	intercedo
fio	intercido
fio	intervenio
fio	evenio
urbs	municipium
urbs	oppidum
urbs	oppidulum
urbs	Roma
urbs	arx
dux	rector
dux	ductor
dux	caput
dux	rex
dux	promunturium
dux	vertex
dux	extremum
dux	magister
dux	princeps
dux	imperator
palma	palmus
honor	decus
honor	honestas
honor	dignitas
honor	munus
honor	reverentia
honor	aestimatio
honor	existimatio
honor	iudicium
honor	observantia
honor	observatio
honor	respectus
honor	spectatio
honor	contemplatus
honor	officium
honor	potestas
honor	imperium
honor	gradus
honor	ordo
honor	locus
honor	remuneratio
honor	meritum
honor	merces
honor	pretium
honor	honorarium
honor	praemium
honor	stipendium
honor	salarium
honor	aes
honor	impendium
honor	libamentum
honor	lustrum
honor	sacrificium
honor	laudatio
honor	laus
honor	obsequium
honor	pulchritudo
honor	species
honor	venustas
honor	cultus
honor	mundus
honor	ornatus
pareo	obtempero
pareo	oboedio
pareo	ausculto
flamma	ardor
flamma	flagrantia
spes	exspectatio
spes	desiderium
spatium	intervallum
spatium	plaga
vis	fortitudo
vis	robur
vis	firmitas
vis	virilitas
vis	vigor
vis	facultas
vis	impetus
vis	vehementia
vis	effectus
vis	potentia
vis	copiae
mensa	tabula
mensa	cena
mensa	convivium
senex	longaevus
senex	vetus
senex	vetustus
senex	priscus
senex	pristinus
senex	antiquus
armo	orno
armo	instruo
totus	cunctus
totus	omnis
totus	universus
totus	integer
totus	summa
ille	hic
ille	is
tumulus	aggestus
praeda	manubiae
praeda	spolia
omnis	cunctus
omnis	totus
omnis	integer
omnis	quisquis
vox	sonus
vox	sonor
vox	enuntiatio
vox	locutio
vox	accentus
vox	pronuntiatio
vox	tenor
vox	nota
vox	notatio
vox	commentarium
vox	crepitus
vox	plausus
vox	rumor
vox	sonitus
vox	strepitus
vox	murmur
vox	fragor
vox	mugitus
vox	dictum
vox	vocabulum
vox	nomen
vox	loquela
vox	eloquium
vox	oratio
vox	sermo
vox	fides
vox	verbum
vox	placitum
vox	sententia
vox	scitum
vox	adagium
vox	decretum
vox	responsum
vox	iudicium
vox	lexis
vox	gradus
vox	iussus
vox	ordo
vox	imperatum
vox	iussum
vox	praeceptum
vox	dispositio
vox	incantatio
vox	fascinatio
corpus	homo
corpus	caro
corpus	morticinum
nox	tenebrae
nox	obscuritas
nox	umbra
verber	flagellum
verber	corrigia
militaris	bellicus
error	erratio
error	menda
error	lapsus
error	mendum
error	peccatum
mortalis	fatalis
mortalis	internecivus
mortalis	letalis
mortalis	mortifer
mortalis	interibilis
mortalis	mortiferus
mortalis	peremptorius
hiems	bruma
hiems	hibernum
cor	pectus
cor	animus
cor	mens
finio	definio
finio	circumscribo
finio	termino
finio	coarto
finio	derogo
finio	constringo
unus	solus
unus	unicus
sed	at
sed	autem
sed	tamen
noster	amicus
noster	sodalis
poena	noxa
poena	castigatio
poena	punitio
poena	supplicium
poena	multa
poena	dolor
poena	afflictatio
memoria	recordatio
memoria	commemoratio
onero	gravo
onero	pinguesco
clementia	mansuetudo
clementia	indulgentia
clementia	lenitas
paro	apto
paro	comparo
paro	congero
paro	exorno
paro	orno
paro	apparo
paro	praeparo
paro	struo
paro	instruo
paro	concinno
paro	expedio
dies	tempus
dies	aetas
dies	lux
vulnus	plaga
vulnus	vulneratio
vulnus	ulcus
animus	mens
animus	anima
animus	indoles
animus	virtus
animus	conscientia
animus	affectus
torus	lectus
torus	cubile
torus	stramen
torus	stratum
torus	culcitra
torus	pulvinus
torus	pulvinar
militia	copiae
res	condicio
fabula	fabella
magnus	grandis
magnus	ingens
magnus	copiosus
magnus	spatiosus
magnus	magnificus
magnus	eminens
magnus	excellens
magnus	excelsus
iudex	arbiter
iudex	examinator
iudex	trutinator
iudex	exactor
iudex	censor
iudex	corrector
iudex	vituperator
religio	superstitio
religio	observantia
religio	observatio
religio	pietas
religio	conscientia
negotium	actio
negotium	industria
negotium	opera
negotium	sollertia
aetas	vita
aetas	aevum
verbum	vox
verbum	vocabulum
verbum	nomen
verbum	loquela
verbum	eloquium
verbum	oratio
verbum	sermo
verbum	fides
verbum	dictum
tumultus	concitatio
tumultus	strepitus
tumultus	seditio
collis	clivus
ago	facio
ago	curo
imago	effigies
imago	idolum
imago	simulacrum
imago	speculum
imago	species
imago	facies
custos	ianitor
custos	tutor
forum	platea
forum	conciliabulum
forum	area
